category,sub-category,sub-sub-category,brand_slug,brand_name,brand_id
Baby Care,Mothers & Maternity,Maternity Health Supplements,himalaya-baby,Himalaya Baby,21800
Baby Care,Mothers & Maternity,Maternity Personal Care,himalaya-baby,Himalaya Baby,21800
Baby Care,Feeding & Nursing,Nursing Tools,sebamed,Sebamed,10435
Baby Care,Feeding & Nursing,Sippers & Bottles,sebamed,Sebamed,10435
Baby Care,Feeding & Nursing,Baby Dishes & Utensils,sebamed,Sebamed,10435
Baby Care,Feeding & Nursing,Bibs & Napkins,sebamed,Sebamed,10435
Baby Care,Baby Accessories,Other Baby Accessories,chicco,Chicco,1519
Baby Care,Baby Accessories,"Combs, Brushes, Clippers",chicco,Chicco,1519
Baby Care,Baby Accessories,Soothers & Teethers,chicco,Chicco,1519
Baby Care,Baby Accessories,Baby Toys,chicco,Chicco,1519
Baby Care,Baby Accessories,Kids Deo,chicco,Chicco,1519
