Unnamed: 0.1,Unnamed: 0,name,latitude,longitude
379,379,Tasty Dumplings - Condesa [Available for LONG-DISTANCE DELIVERY],14.600781,120.974841
380,380,Chuan Kee Turo Turo - Ongpin Street [Available for LONG-DISTANCE DELIVERY],14.60044895128205,120.9755047
381,381,Ling Nam - Alonzo [Available for LONG DISTANCE DELIVERY],14.6022232,120.9785885
382,382,Minute Burger - Gastambide [Available for LONG-DISTANCE DELIVERY],14.6025839,120.9904756
383,383,David's Tea House - Sta. Cruz [Available for LONG-DISTANCE DELIVERY],14.60081561,120.9792872
384,384,24 Chicken - Espana [Available for LONG-DISTANCE DELIVERY],14.6064864,120.9896774
385,385,McDonald's - Good Earth,14.59968074,120.9813703
386,386,Jollibee - Raon,14.600723,120.984396
387,387,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.5972994,120.9780227
388,388,KFC - Good Earth,14.599339283333334,120.98126608333332
389,389,BonChon - Legarda [Available for LONG-DISTANCE DELIVERY],14.5997547,120.9904516
390,390,Andok's Dine-In - Quiapo,14.6017109,120.9850132
391,391,Lola Nena's - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
392,392,Chowking - Paterno,14.5994997,120.98417191111112
393,393,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622555,120.9900343411054
394,394,Farinas Ilocos Empanada - Quiapo [Available for LONG-DISTANCE DELIVERY],14.600459,120.983485
395,395,Greenwich - Isetann Recto,14.602752,120.984799
396,396,Andok's - Carriedo,14.5990063,120.9814594
397,397,Starbucks - I Tower P Noval,14.607214122737872,120.98886850526878
398,398,S&R New York Style Pizza - SM Manila,14.5901269,120.98368076666668
399,399,Hot Star Large Fried Chicken - Laperal [Available for LONG-DISTANCE DELIVERY],14.6009775,120.9899533
400,400,CoCo Fresh Tea & Juice - Youniversity,14.6009454,120.9901214
401,401,Boodle Inasal - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.607157,120.987687
402,402,Paotsin - Good Earth Plaza Mall [Available for LONG-DISTANCE DELIVERY],14.59980821,120.9811871
403,403,Red Ribbon - Binondo,14.5982956,120.9757438
404,404,Sukiya - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590312,120.983149
405,405,Mang Inasal - Quezon Boulevard,14.6007871,120.9844008
406,406,Fruitas - Youniversity Suites Recto [Available for LONG-DISTANCE DELIVERY],14.60102784,120.9899367
407,407,Ate Rica's Bacsilog - Shopper's Mart [Available for LONG-DISTANCE DELIVERY],14.600689,120.975685
408,408,Turks - Recto,14.601017,120.989913
409,409,Potato Corner - Isetann Recto,14.602955,120.984146
410,410,Kyu Kyu Ramen 99 - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5902886,120.9833111
411,411,Tasty Dumplings - Condesa [Available for LONG-DISTANCE DELIVERY],14.600781,120.974841
412,412,Chuan Kee Turo Turo - Ongpin Street [Available for LONG-DISTANCE DELIVERY],14.60044895128205,120.9755047
413,413,Ling Nam - Alonzo [Available for LONG DISTANCE DELIVERY],14.6022232,120.9785885
414,414,Minute Burger - Gastambide [Available for LONG-DISTANCE DELIVERY],14.6025839,120.9904756
415,415,David's Tea House - Sta. Cruz [Available for LONG-DISTANCE DELIVERY],14.60081561,120.9792872
416,416,24 Chicken - Espana [Available for LONG-DISTANCE DELIVERY],14.6064864,120.9896774
417,417,McDonald's - Good Earth,14.59968074,120.9813703
418,418,Jollibee - Raon,14.600723,120.984396
419,419,Tropical Hut Hamburger - Escolta [Available for LONG-DISTANCE DELIVERY],14.5972994,120.9780227
420,420,KFC - Good Earth,14.599339283333334,120.98126608333332
421,421,BonChon - Legarda [Available for LONG-DISTANCE DELIVERY],14.5997547,120.9904516
422,422,Andok's Dine-In - Quiapo,14.6017109,120.9850132
423,423,Lola Nena's - Espana Boulevard [Available for LONG-DISTANCE DELIVERY],14.60594795,120.9885574
424,424,Chowking - Paterno,14.5994997,120.98417191111112
425,425,Angel's Pizza - Legarda [Available for LONG-DISTANCE DELIVERY],14.599262918622555,120.9900343411054
426,426,Farinas Ilocos Empanada - Quiapo [Available for LONG-DISTANCE DELIVERY],14.600459,120.983485
427,427,Greenwich - Isetann Recto,14.602752,120.984799
428,428,Andok's - Carriedo,14.5990063,120.9814594
429,429,Starbucks - I Tower P Noval,14.607214122737872,120.98886850526878
430,430,S&R New York Style Pizza - SM Manila,14.5901269,120.98368076666668
431,431,Hot Star Large Fried Chicken - Laperal [Available for LONG-DISTANCE DELIVERY],14.6009775,120.9899533
432,432,CoCo Fresh Tea & Juice - Youniversity,14.6009454,120.9901214
433,433,Boodle Inasal - Sampaloc [Available for LONG-DISTANCE DELIVERY],14.607157,120.987687
434,434,Paotsin - Good Earth Plaza Mall [Available for LONG-DISTANCE DELIVERY],14.59980821,120.9811871
435,435,Red Ribbon - Binondo,14.5982956,120.9757438
436,436,Sukiya - SM Manila [Available for LONG-DISTANCE DELIVERY],14.590312,120.983149
437,437,Mang Inasal - Quezon Boulevard,14.6007871,120.9844008
438,438,Fruitas - Youniversity Suites Recto [Available for LONG-DISTANCE DELIVERY],14.60102784,120.9899367
439,439,Ate Rica's Bacsilog - Shopper's Mart [Available for LONG-DISTANCE DELIVERY],14.600689,120.975685
440,440,Turks - Recto,14.601017,120.989913
441,441,Potato Corner - Isetann Recto,14.602955,120.984146
442,442,Kyu Kyu Ramen 99 - SM Manila [Available for LONG-DISTANCE DELIVERY],14.5902886,120.9833111
443,443,Tasty Dumplings - Condesa [Available for LONG-DISTANCE DELIVERY],14.600781,120.974841
444,444,Chuan Kee Turo Turo - Ongpin Street [Available for LONG-DISTANCE DELIVERY],14.60044895128205,120.9755047
445,445,Ling Nam - Alonzo [Available for LONG DISTANCE DELIVERY],14.6022232,120.9785885
446,446,Minute Burger - Gastambide [Available for LONG-DISTANCE DELIVERY],14.6025839,120.9904756
447,447,David's Tea House - Sta. Cruz [Available for LONG-DISTANCE DELIVERY],14.60081561,120.9792872
